time,value
13:03:19,77
13:03:34,77
13:03:39,77
13:03:49,78
13:03:54,80
13:03:59,81
13:04:14,81
13:04:24,83
13:04:29,84
13:04:34,86
13:04:39,87
13:04:44,86
13:04:59,86
13:05:00,86
13:05:15,85
13:05:20,84
13:05:35,84
13:05:50,84
13:06:05,84
13:06:20,82
13:06:25,82
13:06:40,82
13:06:50,80
13:06:55,79
13:07:00,79
13:07:05,79
13:07:10,81
13:07:15,81
13:07:20,80
13:07:35,80
13:07:40,79
13:07:50,78
13:08:00,77
13:08:05,78
13:08:10,77
13:08:20,77
13:08:30,79
13:08:37,79
13:08:52,79
13:09:02,79
13:09:07,78
13:09:22,78
13:09:32,77
13:09:37,76
13:09:47,75
13:09:52,74
13:10:02,73
13:10:12,73
13:10:27,73
13:10:42,73
13:10:47,73
13:10:52,72
13:10:57,72
13:11:02,71
13:11:07,72
13:11:22,72
13:11:27,73
13:11:32,75
13:11:42,76
13:11:47,78
13:11:52,81
13:11:57,82
13:12:12,82
13:12:14,82
13:12:24,83
13:12:29,85
13:12:34,87
13:12:39,88
13:12:44,86
13:12:59,86
13:13:09,84
13:13:14,85
13:13:24,86
13:13:29,84
13:13:34,63
13:13:44,64
13:13:59,64
13:14:04,64
13:14:09,65
13:14:14,66
13:14:19,68
13:14:29,69
13:14:44,69
13:14:59,69
13:15:04,71
13:15:19,71
13:15:34,71
13:15:36,71
13:15:46,72
13:15:51,73
13:16:06,74
13:16:11,75
13:16:21,77
13:16:26,78
13:16:31,78
13:16:41,83
13:16:46,82
13:16:51,80
13:16:56,79
13:17:11,79
13:17:26,79
13:18:42,78
13:18:47,78
13:18:57,79
13:19:02,78
13:19:07,78
13:19:12,77
13:19:27,77
13:19:42,77
13:19:47,77
13:19:52,77
13:20:02,78
13:20:12,83
13:20:17,85
13:20:27,85
13:20:37,84
13:20:42,84
13:20:47,85
13:20:52,86
13:21:07,86
13:21:22,86
13:22:19,76
13:22:24,78
13:22:39,78
13:22:54,78
13:23:04,78
13:23:19,78
13:25:41,83
13:25:56,86
13:26:11,86
13:26:16,84
13:26:21,83
13:26:26,83
13:26:31,82
13:26:36,81
13:26:46,80
13:26:56,81
13:27:11,81
13:27:26,81
13:27:41,81
13:27:56,81
13:28:01,80
13:28:11,80
13:28:26,80
